"","uf_beneficiaria_sigla","20 a 29","30 a 39","40 a 49","15 a 19",">=50","10 a 14","ano"
"130","RR",2,10,0,0,0,0,2019
"131","RS",124,334,85,7,2,0,2019
"132","SC",190,425,94,11,2,0,2019
"133","SE",47,83,20,4,0,0,2019
"134","SP",2142,4366,1144,172,54,4,2019
"135","TO",29,64,17,3,0,0,2019
"136","AC",7,28,6,1,0,0,2020
"137","AL",78,162,47,9,0,0,2020
"138","AM",67,128,28,9,0,0,2020
"139","AP",12,17,13,2,0,0,2020
"140","BA",235,563,158,18,2,1,2020
"141","CE",355,724,177,27,0,0,2020
"142","DF",45,108,46,3,1,0,2020
"143","ES",137,310,75,7,4,0,2020
"144","GO",194,323,62,9,0,0,2020
"145","MA",132,293,70,9,0,0,2020
"146","MG",685,1582,420,52,11,4,2020
"147","MS",83,173,45,5,1,0,2020
"148","MT",136,223,65,12,0,0,2020
"149","PA",116,273,64,15,1,0,2020
"150","PB",84,166,48,6,0,0,2020
"151","PE",101,237,49,11,0,2,2020
"152","PI",114,197,41,11,0,0,2020
"153","PR",296,642,139,30,12,1,2020
"154","RJ",408,956,279,51,10,0,2020
"155","RN",129,263,54,4,2,0,2020
"156","RO",53,119,15,2,0,0,2020
"157","RR",2,4,0,1,0,0,2020
"158","RS",99,289,72,3,1,0,2020
"159","SC",217,471,115,5,5,0,2020
"160","SE",51,94,23,4,0,1,2020
"161","SP",1707,3620,991,143,28,6,2020
"162","TO",35,56,18,1,1,0,2020
"163","AC",3,29,5,0,1,0,2021
"164","AL",88,160,45,6,3,0,2021
"165","AM",22,69,15,0,0,0,2021
"166","AP",24,24,5,1,0,0,2021
"167","BA",244,561,174,25,1,0,2021
"168","CE",316,717,181,17,2,1,2021
"169","DF",41,93,51,2,4,0,2021
"170","ES",113,337,93,5,2,0,2021
"171","GO",191,398,98,8,3,1,2021
"172","MA",187,318,66,9,2,0,2021
"173","MG",663,1547,438,45,14,2,2021
"174","MS",88,143,32,3,3,0,2021
"175","MT",158,270,59,12,0,0,2021
"176","PA",130,277,63,12,1,0,2021
"177","PB",70,172,38,3,1,1,2021
"178","PE",161,289,91,9,1,1,2021
"179","PI",89,158,40,11,0,0,2021
"180","PR",290,605,161,16,17,1,2021
"181","RJ",430,887,302,39,23,2,2021
"182","RN",121,264,77,6,1,0,2021
"183","RO",37,98,13,3,3,0,2021
"184","RR",0,8,1,0,0,0,2021
"185","RS",126,312,84,5,0,0,2021
"186","SC",192,441,122,3,4,0,2021
"187","SE",49,129,32,3,4,0,2021
"188","SP",1704,3622,1034,132,38,5,2021
"189","TO",30,75,19,1,0,0,2021
"190","AC",8,6,4,0,0,0,2022
"191","AL",88,178,44,5,2,0,2022
"192","AM",21,57,25,4,1,1,2022
"193","AP",5,15,4,0,4,0,2022
"194","BA",280,547,175,15,1,3,2022
"195","CE",295,735,186,15,4,2,2022
"196","DF",47,99,34,6,2,0,2022
"197","ES",118,285,89,5,7,0,2022
"198","GO",219,416,102,8,3,0,2022
"199","MA",177,359,101,16,0,0,2022
"200","MG",557,1567,493,45,10,1,2022
"201","MS",75,227,61,7,2,1,2022
"202","MT",149,274,64,14,1,0,2022
"203","PA",116,236,78,10,1,0,2022
"204","PB",88,197,56,4,0,0,2022
"205","PE",153,299,74,14,2,0,2022
"206","PI",83,165,45,7,1,0,2022
"207","PR",344,709,175,20,10,0,2022
"208","RJ",465,945,311,30,17,1,2022
"209","RN",98,220,70,5,0,0,2022
"210","RO",45,112,37,2,1,0,2022
"211","RR",1,5,1,0,0,0,2022
"212","RS",99,276,82,4,2,0,2022
"213","SC",211,517,109,13,2,0,2022
"214","SE",32,100,32,6,1,0,2022
"215","SP",1662,3380,974,96,30,4,2022
"216","TO",19,65,22,1,0,0,2022
